event_id,name,description,time_id,section_id,people_id,location_id
60,Открыт прием заявок на IV Всероссийский конгресс молодежных медиа,"Открыт прием заявок на IV Всероссийский конгресс молодежных медиа До 13 октября идет прием заявок на участие в IV Всероссийском конгрессе молодежных медиа. Мероприятие проводится ежегодно и собирает на своей площадке представителей СМИ, руководителей студенческих редакций, медиацентров, ведущих экспертов по коммуникациям. Отправить заявку на участие может молодежь в возрасте от 18 до 30 лет. В течение четырех дней гостей ждет насыщенная программа: мастер-классы, панельные дискуссии, творческие встречи с медиаменеджерами, профессионалами ведущих СМИ, представителями ведомств сферы образования и молодежной политики. В числе приглашенных спикеров: заместитель Председателя Правительства Российской Федерации Ольга Голодец, главный редактор Телеканала «Россия 24» Евгений Бекасов, первый заместитель генерального директора ТАСС Михаил Гусман, председатель Союза журналистов России Владимир Соловьев, декан факультета журналистики МГУ имени М. В. Ломоносова Елена Вартанова и другие. Также в рамках Конгресса пройдут творческие встречи в редакциях ведущих федеральных СМИ. Подать заявку на участие можно на сайте. Мероприятие пройдет в Москве с 19 по 22 ноября. Участие бесплатное, организаторы оплачивают проживание, питание участников. Организаторы Конгресса — Международная ассоциация студенческого телевидения и Комитет общественных связей и молодежной политики города Москвы. ",60,37,"131,145,185,161,109,184,173,144,49,78,115,203,94,185,191",104
61,Творческую молодежь приглашают в Арт-мастерскую «ПУЛЬС»,"Творческую молодежь приглашают в Арт-мастерскую «ПУЛЬС» До 3 октября идет прием заявок на участие в музыкальном проекте Арт-мастерская «Пульс». Продемонстрировать свои таланты могут молодые вокалисты в возрасте от 14 до 30 лет. Проект состоит из тематических встреч, семинаров, мастер-классов и Гала-концерта. Лучших участников ждут час студийной фотосъемки в сценическом образе, профессиональная студия звукозаписи для подготовки вокального трека, съемка видеоклипа. Также финалисты проекта выступят на Гала-концерте, который пройдет 19 марта 2020 года в доме молодежи «Атлант» (ул.Руставели, д.37). Участники получат ценные призы и награды. Заявки принимают по электронной почте: 5310671@mail.ru с пометкой «Арт-мастерская «ПYЛЬС». Подробную информацию о проекте можно получить в группе ВКонтакте. Организатор – Подростково-молодежный центр «Калининский». Дополнительная информация: тел. (812) 531-06-71 ",61,8,"154,119,212,174,151,159,87,71,74,169,80,53,179,120,120,160,78,166,71,87",74
62,Старт собеседований для волонтеров Чемпионата Европы по футболу UEFA 2020,"Старт собеседований для волонтеров Чемпионата Европы по футболу UEFA 2020 16 сентября в Центре городских волонтеров (13-линия ВО., д. 22В) начинается рекрутинговая кампания на Чемпионат Европы по футболу UEFA 2020 города-организатора Санкт-Петербурга. С участниками проведут первые очные собеседования. Планируется, что на базе центра городских волонтеров к чемпионату подготовят 1500 активистов. В их задачи войдут транспортная логистика, проведение культурных мероприятий, информирование болельщиков о местах питания и отдыха. Добровольцы познакомятся с несколькими иностранными языками, лучше узнают свой город и посмотрят, как идет подготовка к Чемпионату изнутри. Напомним,что в Петербурге идет набор в добровольцы Чемпионата Европы по футболу UEFA 2020 года. Для того чтобы стать городским волонтером, надо заполнить анкету на сайте и пройти очное интервью. Подробности можно узнать в официальной группе центра в ВКонтакте. ",62,11,"124,107,78,60,151,131,59,112,74,148,60,120",20
63,Дом молодежи Санкт-Петербурга организует выездные экскурсии для молодежи по святым и историческим местам,"Дом молодежи Санкт-Петербурга организует выездные экскурсии для молодежи по святым и историческим местам 14 и 15 сентября молодые петербуржцы посетят святые и исторические места Ленинградской области. Экскурсии организуют в Свято-Троицкий, Александро-Свирский монастырь, Покрово-Тервенический женский монастырь, Казанский храм и Часовню Серафима Вырицкого, Иоанно-Богословский Череменецкий мужской монастырь. В поездках участников будут сопровождать профессиональные гиды. Посетителям расскажут о традициях этих мест, познакомят с их историей и культурой. Цикл экскурсий для молодежи по святым и историческим местам продлится до 19 октября. Организатор просветительских поездок – Дом молодежи Санкт-Петербурга совместно с отделом по делам молодежи Санкт-Петербургской епархии Русской Православной Церкви при поддержке Комитета по молодежной политике и взаимодействию с общественными организациями. ",63,41,"115,122,129,184,213,103,195,83,187,146,182,104,74,209",29
64,В Петербурге состоится Российско-японский молодежный форум,"В Петербурге состоится Российско-японский молодежный форум С 25 по 28 сентября в Санкт-Петербурге пройдет Российско-японский молодежный форум. В мероприятии примут участие студенты, молодые специалисты и руководители молодежных общественных объединений. На форуме будут работать следующие площадки: «Вклад молодежи в достижение целей устойчивого развития», «Развитие молодежного добровольчества», «Развитие молодежного предпринимательства», «Молодежные обмены в области культуры». В рамках события пройдут форсайт-сессии и молодежная конференция. На мероприятии выступят представители Министерства науки и высшего образования Российской Федерации, Генерального консульства Японии в Санкт-Петербурге и Японо-Российского центра молодежных обменов. Также по окончанию форума участников ждет торжественное вручение сертификатов. Рабочий язык мероприятия: английский. Организаторы – ФБОУ «Московский институт радиотехники, электроники и автоматики – Российский технологический университет», выполняющее функции Координационного бюро российско-японских молодёжных обменов и Японо-Российский центр молодёжных обменов, при поддержке Минобрнауки России и МИД Японии. ",64,32,"188,146,216,142,103,74,121,167,212,143,141,196,80",57
66,Молодых специалистов медиасферы приглашают на студенческую конференцию Baltic Weekend,"Молодых специалистов медиасферы приглашают на студенческую конференцию Baltic Weekend До 22 сентября идет прием заявок на участие в конференции Student Baltic Weekend. Ежегодно мероприятие собирает более 500 студентов высших учебных заведений Санкт-Петербурга, а также регионов России и зарубежных стран. Перед участниками выступят ведущие специалисты в области связей с общественностью, журналистики и маркетинга. Конференция является площадкой, где можно завести профессиональные и дружеские отношения, обменяться опытом и получить новые знания. Кроме того, в рамках события пройдет конкурс студенческих PR-проектов на соискание международной премии «PROBA Awards – 2019» в номинации «Студенческий PR-проект». Победители получат ценные подарки и дипломы от организационного комитета Baltic Weekend. Торжественная церемония награждения пройдет в Атриуме Главного Штаба Эрмитажа 26 сентября. Подать заявку на участие в конференции можно по адресу электронной почты: stud@balticweekend.com. В письме необходимо указать ФИО, университет и телефон. ",66,37,"178,88,210,112,201,77,99,50,151,181,152,136,48,53,99,173,80,193,198,82,200",38
68,Лучшие молодежные проекты Петербурга получат премию,Лучшие молодежные проекты Петербурга получат премию До 24 октября идет прием заявок на участие в конкурсе «Лучший молодежный проект Санкт-Петербурга». Рассказать о своих инициативах могут молодые люди в возрасте от 14 до 30 лет. В рамках конкурса 30 победителям присуждается премия Правительства Санкт-Петербурга в размере по 100 000 руб. Молодежные проекты должны быть реализованы на территории Северной столицы. Каждый участник имеет право подать на конкурс не более одной заявки. Ознакомиться с условиями можно по ссылке. Организатор конкурса – Комитет по молодежной политике и взаимодействию с общественными организациями Санкт-Петербурга. Дополнительная информация: тел. 576-01-22 ,68,1,"150,164,115,152,145,158,50,161,91,106,79,164,146,112,89,76,49,196,115,189,178,145,208,57,102,204",69
69,Петербургских студентов приглашают принять участие в конкурсе «Права человека - 2019»,"Петербургских студентов приглашают принять участие в конкурсе «Права человека - 2019» До 11 ноября идет прием заявок на участие в конкурсе «Права человека - 2019». Представить свои работы могут студенты высших учебных заведений Санкт-Петербурга. Заявки принимают по следующим номинациям: «Статья», «Эссе», «Анимационный ролик, видеоролик», «Плакат, карикатура, фотография». Конкурсные работы должны соответствовать правозащитной тематике, затрагивать актуальные вопросы реализации прав и свобод, уважения достоинства человеческой личности, места и роли гражданина в правовой системе. Торжественная церемония награждения победителей состоится 6 декабря в Государственном музее политической истории России (ул.Куйбышева, д. 2-4) в рамках общегородских мероприятий, приуроченных к празднованию Международного дня прав человека. Более подробную информацию о конкурсе можно получить по ссылке. Организатор – Уполномоченный по правам человека в Санкт-Петербурге при поддержке Комитета по науке и высшей школе. ",69,41,"119,109,101,85,57,150,175,105,110,63,49,128,155,75,144,121,140,197,107",57
70,В Приморском районе Петербурга состоится фестиваль молодежных субкультур,"В Приморском районе Петербурга состоится фестиваль молодежных субкультур 31 октября в 13:00 в парке «Озеро Долгое» (угол ул.Ольховой и пр.Королева) состоится фестиваль молодежных субкультур «STREET SUMMIT 2019». Принять участие могут все желающие. Гостей ждут встречи с известными блогерами, танцевальные баттлы, мастер-классы по фитнесу, йоге, интерактивные площадки для детей, спортивные эстафеты и другие активности. На фестивале выступят воркаут и сапсерф-спортсмены, а также судьи танцевальных состязаний и приглашенные артисты. Подробная информация об участии в баттлах по ссылке. Организатор фестиваля – Администрация Приморского района Санкт-Петербурга. ",70,26,"68,206,166,147,51,210,221,107,125,201,215,55,112,105,114",4
72,В Парке 300-летия состоится ежегодный патриотический фестиваль «Герои нашего времени»,"В Парке 300-летия состоится ежегодный патриотический фестиваль «Герои нашего времени» 14 сентября в 12:00 Парке 300-летия Петербурга состоится открытие ежегодного общественно-патриотического фестиваля «Герои нашего времени». Вход на мероприятие свободный. В программе фестиваля: выступления известных артистов и коллективов Санкт-Петербурга, встречи с Героями России, общественными деятелями, спортсменами, блогерами, конкурсы и розыгрыши призов, тематические зоны и другие активности. В рамках мероприятия состоится Международный турнир по ММА «Пояс героя». Также гости смогут увидеть авиашоу и соревнования по парашютному спорту. Специальный хэдлайнер фестиваля известный артист и музыкант Денис Майданов. С программой фестиваля можно ознакомиться на сайте. Организаторы – 118-ый Отдельный учебный Центр специального назначения при поддержке Правительства Санкт-Петербурга. ",72,1,"219,196,210,118,67,151,169,58,209,131,65,100,156,93,105,190",86
73,На Дворцовой площади пройдет благотворительный фестиваль,"На Дворцовой площади пройдет благотворительный фестиваль 31 августа в 17:00 на Дворцовой площади Санкт-Петербурга состоится благотворительный фестиваль «Будь с городом!». Принять участие могут все желающие. Гостей праздника ждут показательные выступления, мастер-классы, спортивные соревнования, творческие мастерские, шоу барабанов и многое другое. На мероприятии пришедшие узнают о благотворительных фондах, существующих в Петербурге, смогут сделать пожертвование. Весь вечер на сцене будут выступать известные творческие коллективы: группа «Сплин», участники шоу «Танцы» на ТНТ, Therr Maitz, «Маркшейдер Кунст», «Пролетарское Танго». Ознакомиться с программой мероприятия можно по ссылке. Организаторы фестиваля – Автономная Некоммерческая Организация содействия развитию культуры, туризма и спорта «Городские проекты» при поддержке Правительства Санкт-Петербурга. ",73,35,"97,221,209,193,132,89,55,133,101,191,76,210,93,222,99,54,48,147,81,74",27
74,В Петербурге стартовал набор на курс лекций по социальной политике,"В Петербурге стартовал набор на курс лекций по социальной политике 6 сентября в 18:00 начнется курс мероприятий в рамках проектной деятельности по направлению «Социальная политика». Встречи будут проходить в новом молодежном пространстве «Просто» (пр.Медиков д.3, к.5). Перед участниками выступят отраслевые спикеры, профессиональные тренера и эксперты, которые расскажут о том, как реализовать собственные идеи и проекты. Также активистов ждут мастер-классы по публичному выступлению и личностному росту. Зарегистрироваться на курс можно по ссылке. Организаторы – Комитет по молодежной политике и взаимодействию с общественными организациями Санкт-Петербурга и Молодежное пространство «Просто». ",74,1,"214,121,222,138,105,57,110,72,156,73,98,153,189,202,128,63,197,109,90",56
75,Дом молодежи Санкт-Петербурга принял участие в форуме «Выше крыши»,"Дом молодежи Санкт-Петербурга принял участие в форуме «Выше крыши» С 21 по 24 августа сотрудники Дома молодежи Санкт-Петербурга приняли участие во Всероссийском молодежном форуме «Выше крыши», который проходил в спорткомплексе «Юбилейный». Мероприятие посетили свыше 2000 активистов из разных регионов страны. Для участников на семи площадках проводились мастер-классы, дискуссии, стратегические сессии, лекции известных блогеров, бизнес-тренеров, а также концерты и развлекательные шоу. Главными хэдлайнерами стали основатель и управляющий партнер компании EVERYCO Владимир Соловьев, видеоблогер Николай Соболев, российский футболист, заместитель спортивного директора ФК «Зенит» Вячеслав Малафеев, основатель сети танцевальных школ «Дети на паркете» Антон Сергеев, предприниматель, создатель онлайн маркетплейса LegalSpace и сервиса Visabot Артем Голдман, основатель сервиса YouDo Денис Кутергин, предприниматель, ресторатор, основатель федеральной сети баров и клубов NeBar Павел Чесноков, стендап-комики Александр Незлобин, Дмитрий Романов и Иван Половинкин и другие. В рамках форума состоялся грантовый конкурс молодежных инициатив Росмолодежи, на который было подано 280 заявок и 42 регионов страны. В нем приняла участие специалист Дома молодежи Санкт-Петербурга Оксана Борисова. Ее проект посвящен ветеранам войн в Чечне и Южной Осетии. На одной из площадок был представлен стенд Центра городских волонтеров Санкт-Петербурга, которые рассказывали всем желающим о программе подготовки волонтеров к Чемпионату Европы по футболу УЕФА 2020 города-организатора Санкт-Петербург. Волонтеры рассказали о том, как проводят языковые курсы и тренинги, учат ребят обеспечивать комфортное и безопасное пребывание гостей во время проведения масштабного события. Завершился форум награждением победителей кадрового конкурса «Мой город – мои возможности». Также объявили список проектов, которые рекомендовали к получению грантовой поддержки молодежных инициатив от Росмолодежи. После официальной церемонии состоялся концерт с участием молодежных музыкальных групп. В последний день, 24 августа, на Дворцовой площади прошел «Питерский заряд» – утренняя зарядка, которую провели чемпионы Елизавета Туктамышева, Вячеслав Тисленко и активистка движения «На коляске без барьеров» Наталья Камолинкова. Дом молодежи также принял активное участие в воркауте и поддержал акцию. Организаторы форума – Комитет по молодёжной политике и взаимодействию с общественными организациями Санкт-Петербурга при поддержке Федерального агентства по делам молодежи. ",75,11,"160,180,220,85,216,198,178,187,181,187,133,193,159,119,208",29
77,Петербуржцев приглашают принять участие в семейном фотоконкурсе,"Петербуржцев приглашают принять участие в семейном фотоконкурсе До 20 сентября идет прием заявок на участие в фотоконкурсе «Семейный Петербург – 2019». Представить свои работы могут семьи, проживающие в Санкт-Петербурге. Конкурс проводится по следующим номинациям: «Папа может!», «Уютное гнездышко», «NoMake Up Mama», «Мы за ЗОЖ». Фотоработы можно загрузить в фотоальбом фестиваля в социальной сети ВКонтакте, либо опубликовать в Инстаграм с отметкой фестиваля @FamilyFest_vmeste и хештегами #кмпвоо, #семейныйпетербург2019. Торжественная церемония награждения победителей состоится 28 сентября в рамках семейного фестиваля «Вместе» (исторический парк «Россия-моя история», Бассейная улица, д.32). Подробную информацию о конкурсе можно получить по ссылке. Организатор конкурса – Комитет по молодежной политике и взаимодействию с общественными организациями Санкт-Петербурга ",77,41,"209,196,150,181,157,132,125,126,140,182,103,63,134,163,214,135,74,106,82",78
78,В Петербурге гимн России исполнят всем стадионом!,"В Петербурге гимн России исполнят всем стадионом! 1 сентября в 16:00 пройдет всероссийская акция «День гимна». Мероприятие состоится на Газпром Арене (Футбольная ал., д. 1). Акцию приурочили к 75-летию мелодии гимна Российской Федерации. Организаторы планируют собрать более 40 000 человек и оркестр из 8 000 музыкантов, руководить которыми будет Валерий Гергиев. Такой хор может войти в Книгу рекордов Гиннеса, как самый большой хор, исполняющий гимн России. В программу мероприятия также включены развлекательные активности для всех гостей. В 16:00 на Газпром Арене выступит группа IOWA. После исполнения гимна, в 19:00, начнется прямая трансляция футбольного матча Спартак – Зенит. Участие бесплатное. Для получения электронного билета на вход необходима регистрация на сайте. Подробная информация: 8-800-201-6060. ",78,"11,29","197,122,104,178,92,51,179,187,172,195,91,63,69,218,132,63,64,130,171",59
80,Блогеров Петербурга приглашают принять участие во всероссийском конкурсе блогов,"Блогеров Петербурга приглашают принять участие во всероссийском конкурсе блогов До 1 сентября идет прием заявок на участие во всероссийском конкурсе творческих работ «В ТЕМЕ». Представить свои интернет-посты о межнациональных отношениях народов России могут молодые люди в возрасте от 18 до 35 лет. Конкурс проводится в рамках проекта «Медиафорум». Принять участие могут как опытные, так и начинающие блогеры. Конкурс открывает серию мероприятий, посвященных медиаобразованию в сфере межнациональных отношений, серии мастер-классов и творческих встреч с известными блогерами. В результате заочного отбора 20 лауреатов отправятся в этнографический блог-тур, после которого участники напишут отчеты для своих блогов. Авторы лучших публикаций получат дипломы и ценные призы. Торжественная церемония награждения пройдет в рамках медиафорума «Вклад журналистов в межкультурный диалог» в Москве. Подать заявку на конкурс можно по ссылке. Организаторы – Молодёжная ассамблея народов России «Мы — россияне» и Департамент национальной политики и межрегиональных связей Правительства Москвы. Дополнительная информация: тел. +7-915-830-0130. ",80,37,"66,76,84,212,85,60,116,101,110,145,128,199,83,62",99
81,Юные петербургские танцоры покорили Дрезден,"Юные петербургские танцоры покорили Дрезден 17 и 18 августа танцоры петербургского ансамбля «Смайл» приняли участие в праздновании Дня города Дрездена. Юные таланты представили оригинальную концертную программу в самом центре города. Перед началом мероприятия танцоры пообщались с представителями Немецко-русского института культуры. В тот же день петербуржцы посетили Дрезденский замок-резиденцию саксонских королей и Галерею старых мастеров, где увидели картины знаменитых итальянских художников: «Сикстинскую Мадонну» Рафаэля и «Спящую Венеру» Джорджоне. Масштабный праздничный концерт состоялся в самом центре Дрездена. Гости с восторгом встретили петербургских танцоров. Ранее команда «Смайл» победила на Фестивале самодеятельного творчества учреждений по делам молодежи Санкт-Петербурга, что и дало им возможность поехать выступать в Германию. Событие организовал Дом молодежи Санкт-Петербурга при поддержке Комитета по молодежной политике и взаимодействию с общественными организациями. Художественный руководитель «Смайла» Елена Коршукова рассказывает, что танцоры приложили много усилий во время подготовки к концерту. Они показали часовую программу из нескольких танцевальных композиций. «Реальность превзошла ожидания! Поездка получилась такой насыщенной, что мы не провели впустую ни одного часа. У нас была обширная культурная программа. Мы познакомились с историей и культурой Германии. На концерте ребята выложились на все сто! Реакция зрителей была положительной. Я сама испытывала гордость и даже прослезилась, глядя на то, как дети эмоционально танцуют», — поделилась художественный руководитель «Смайла» Елена Коршукова. Ежегодно администрация города придумывает уникальную программу для празднования Дня Дрездена (Dresdner Stadtfest). Событие собирает людей не только из Восточной Германии, но и из других стран. За двадцать лет число гостей праздника выросло до 550 000 человек. Все участники ансамбля получили положительные эмоции от выступления и поездки. Некоторые впервые посетили Германию. «Здесь очень приветливые люди. Когда мы выступали, зрители дали нам много положительных эмоций. Также мы посмотрели на немецкую танцевальную культуру. Такой ценный опыт – это еще один шаг вперед, не всем выпадает такой шанс. Я в Германии впервые. Мы успели посетить три музея, картинную галерею и замок-резиденцию», — рассказала о своих впечатлениях участница ансамбля Ангелина Игнатова. Сопровождал делегацию из Петербурга заместитель председателя правления Немецко-русского института культуры в Дрездене Виталий Колесник. Он высоко оценил мастерство и профессиональную подготовку молодых танцоров: «Площадь перед сценой была заполнена. На фестиваль пришли не только жители Дрездена, но и гости из других городов и стран. Все смотрели, все были в восхищении — прекрасные были номера. Я считаю,что резонанс достаточно серьёзный», — прокомментировал выступление Виталий Колесник. После ответственного выступления петербургские танцоры посетили Морицбург — загородный замок Августа Сильного. Он является жемчужиной архитектуры барокко, в нем снимали фильм-сказку «Три орешка для Золушки». Из Морицбурга ребята возвращались по исторической железной дороге Лесництальбан. Участники ансамбля также узнали, что связывает Россию и Германию: посетили памятник Федору Михайловичу Достоевскому и мемориал советским солдатам, павшим во время Великой Отечественной войны. Поездка в Дрезден стала настоящим культурным обменом, в ходе которого ребята познакомились с культурой, искусством, историей и традициями Германии. Заместитель директора по методической работе Дома молодежи Санкт-Петербурга Владислав Норкин и представители Немецко-русского института культуры в Дрездене надеются на дальнейшее сотрудничество. «Мы впервые организовали для молодежного коллектива из Санкт-Петербурга поездку такого масштаба. Для хореографического ансамбля «Смайл» — это большой шаг вперед. Ребята показали себя на высшем уровне, зрители были в восторге от их программы. Такие поездки развивают международное сотрудничество и укрепляют дружеские связи между творческой молодежью двух стран. В 2021 году исполнится 60 лет со дня установления побратимских отношений между Северной столицей и Дрезденом. Мы считаем, что грядущий юбилей станет хорошим поводом для создания новых совместных проектов», — рассказал Владислав Норкин. Поездка состоялась в рамках реализации «Дорожной карты» по сотрудничеству между Санкт-Петербургом и Дрезденом. Одно из перспективных направлений программы — поддержка существующих контактов между школами, детскими и подростковыми объединениями. ",81,"1,29,41","170,123,154,136,163,112,141,131,63,48,73,97",104
83,Школьники и студенты Петербурга могут принять участие в конкурсе «Права человека нашими глазами»,"Школьники и студенты Петербурга могут принять участие в конкурсе «Права человека нашими глазами» До 15 октября идет прием заявок на участие в конкурсе «Права человека нашими глазами». Прислать свои творческие работы могут школьники и студенты в возрасте от 10 до 22 лет. Конкурсные заявки принимают по двум номинациям:игровой социальный ролик (продолжительностью не более 40 секунд) и видеоопрос (продолжительностью не более 90 секунд). Участники в своих работах должны осветить одно из положений Всеобщей декларации прав человека. Жюри будут оценивать полноту информации, оригинальность и увлекательность сюжета. Авторы лучших работ получат дипломы и памятные призы. Для победителей будет организован мастер-класс на базе Санкт-Петербургского государственного института кино и телевидения. Подать заявку на конкурс можно по ссылке. Организаторы – Негосударственное образовательное учреждение дополнительного и дополнительного профессионального образования «Санкт-Петербургский институт права имени Принца П.Г.Ольденбургского» и Санкт-Петербургский государственный институт кино и телевидения. ",83,1,"206,167,136,115,143,147,157,200,86,50,117,87,211,103,216,113,131,71,68,183,105,204,166,65",45
87,В Пушкине пройдет фестиваль славянской культуры «Любящее сердце России»,"В Пушкине пройдет фестиваль славянской культуры «Любящее сердце России» 17 августа в 10:00 в Доме молодежи «Царскосельский» (ул. Магазейная, д.42а) состоится фестиваль славянской культуры «Любящее сердце России». Мероприятие посвящено фольклорному творчеству и экологии. Перед участниками события выступят исполнители из северо-западных регионов России и Беларуси. Гости фестиваля смогут принять участие в мастер-классах по декоративно-прикладному искусству, хороводах, играх и спортивных состязаниях. На фестивале проведут церемонии славянских обрядов. Также в рамках фестиваля состоится финал регионального конкурса «Песня над Россией». Вход свободный. Организаторы фестиваля – Межрегиональная общественная организация «Природоохранный союз» и Дом молодежи «Царскосельский». ",87,29,"48,171,118,161,174,160,195,145,134,201,96,187,217,101,130",30
